STuff1,Date,Stuff2,Stuff3,,,,,,
256 Sa1 al¬Shash ,286, 26/R , 2.12 fh ,1356,,,,,
257 Sa1 al¬Shash ,286, 31/R ,2.94,125,,,,,
258 Sa1 alShash ,286, 0.64 f ,723,,,,,,
259 Sa1 al¬Shash ,287, 01/R ,3.3,133,,,,,
260 Sa1 al¬Shash ,287, 02/R ,2.95,220,,,,,
261 Sa1 al¬Shash ,287, 03/R , 3.04 g ,339,,,,,
262 Sa1 al¬Shash ,287, 08/R ,2.99,467,,,,,
263 Sa1 alShash ,287, 09/R , 1.19 f ,724,,,,,
264 Sa1 alShash ,287, 09/R , 0.84 f ,855,,,,,
265 Sa1 al¬Shash ,287, 12/R ,3.16,382,,,,,
266 Sa1 al¬Shash ,287, 12/R ,3.03,137,,,,,
267 Sa1 al¬Shash ,287, 12/R , 1.57 f ,906,,,,,
268 Sa1 al¬Shash ,287, 17/R , 2.37 f ,821,,,,,
269 Sa1 alShash ,287, 17/R , 1.28 f ,834,,,,,
270 Sa1 al¬Shash ,287, 18/R ,2.96,213,,,,,
271 Sa1 al¬Shash ,287, 18/R , 1.24 f ,784,,,,,
272 Sa1 al¬Shash ,287, 22/R ,3.06,352,,,,,
273 Sa1 al¬Shash ,287, 23/R , 1.72 fh ,894,,,,,
274 Sa1 al¬Shash ,287, 24/R ,2.8,513,,,,,
275 Sa1 alShash ,287, 25/R , 1.27 fh ,876,,,,,
276 Sa1 al¬Shash ,288, 01/R ,3.01,105,,,,,
277 Sa1 al¬Shash ,288, 01/R ,2.91,110,,,,,
278 Sa1 al¬Shash ,288, 03/R , 2.99 h ,236,,,,,
279 Sa1 al¬Shash ,288, 04/R ,3.3,439,,,,,
280 Sa1 alShash ,288, 06/R , 0.70 f ,807,,,,,
281 Sa1 alShash ,288, 07/R , 1.05 f ,856,,,,,
282 Sa1 al¬Shash ,288, 09/R ,3.24,427,,,,,
283 Sa1 al¬Shash ,288, 09/R ,3.07,326,,,,,
284 Sa1 al¬Shash ,288, 09/R , 1.22 f ,1160,,,,,
285 Sa1 al¬Shash ,288, 11/R ,3.06,151,,,,,
286 Sa1 al¬Shash ,288, 16/R ,2.93,370,,,,,
287 Sa1 al¬Shash ,288, 03/R ,3.43, 0223. Rev: alMuktafi billah/Isma`il b Ahmad.,,,,,
288 Sa1 alShash ,289, 0.93 f ," 1131. Rev: alMu`tadid billah/Isma`il b Ahmad, as all the following of this date.",,,,,,
289 Sa1 alShash ,289, 01/R , 1.00 f ,1035,,,,,
290 Sa1 al¬Shash ,289, 03/R ,2.98,520,,,,,
291 Sa1 al¬Shash ,289, 03/R ,2.85,511,,,,,
292 Sa1 al¬Shash ,289, 03/R , 1.49 f ,797,,,,,
293 Sa1 alShash ,289, 03/R , 1.43 f ,796,,,,,
294 Sa1 al¬Shash ,289, 04/R ,3,321,,,,,
295 Sa1 al¬Shash ,289, 04/R , 2.38 fh ,889,,,,,
296 Sa1 alShash ,289, 05/R , 1.18 f ,754,,,,,
297 Sa1 alShash ,289, 09/R ,3.18,400,,,,,
298 Sa1 alShash ,289, 09/R , 1.17 f ,707,,,,,
299 Sa1 al¬Shash ,289, 10/R , 2.96 h ,580,,,,,
300 Sa1 al¬Shash ,289, 12/R ,3.11,54,,,,,
301 Sa1 al¬Shash ,289, 13/R , 3.04 h ,573,,,,,
302 Sa1 al¬Shash ,290, 01/R , 1.30 f , 1144. Rev: alMuktafi billah/Isma`il b Ahmad.,,,,,
303 Sa1 alShash ,290, 02/R , 1.02 f ,1158,,,,,
304 Sa1 al¬Shash ,290, 05/R ,3.02,201,,,,,
305 Sa1 al¬Shash ,290, 05/R , 1.39 f ,1014,,,,,
306 Sa1 al¬Shash ,290, 07/R , 1.92 f ,874,,,,,
307 Sa1 alShash ,290, 07/R , 0.80 f ,1185,,,,,
308 Sa1 alShash ,290, 12/R , 1.55 f ,988,,,,,
309 Sa1 alShash ,290, 14/R , 1.47 f ,1023,,,,,
310 Sa1 al¬Shash ,290, 16/R ,3.21,256,,,,,
311 Sa1 alShash ,290, 24/R , 1.46 f ,716,,,,,
312 Sa1 alShash ,291, 01/R , 1.91 f ," 1231. Obv: kalima Ib, Abu lHusayn waliyy alDawla/alwazir.",,,,,
313 Sa1 al¬Shash ,291, 02/R ,2.87, 0424. As preceding.,,,,,
